,date,species,bands,sx,sy
1219,7/7/2015,GRSP,RS-YY,713109,4334237
1368,7/17/2015,GRSP,RS-YY,713130,4334237
1220,7/7/2015,GRSP,RS-YY,713115,4334242
1232,7/7/2015,GRSP,RS-YY,713107,4334248
21,5/9/2014,GRSP,RW-GS,712389,4329106
44,5/9/2014,GRSP,RW-GS,712389,4329106
342,6/13/2014,GRSP,RW-GS,712455,4329126
2639,5/7/2017,GRSP,RW-RS,711171,4331146
2651,5/7/2017,GRSP,RW-RS,711171,4331146
2890,6/10/2017,GRSP,RW-RS,711234,4331205
2892,6/10/2017,GRSP,RW-RS,711234,4331258
2889,6/10/2017,GRSP,RW-RS,711236,4331273
2896,6/10/2017,GRSP,RW-RS,711269,4331291
2893,6/10/2017,GRSP,RW-RS,711244,4331306
565,7/19/2014,GRSP,RW-RS,713768,4335315
1005,6/22/2015,GRSP,RW-SA,712933,4334480
4358,6/21/2019,GRSP,RW-SP,712262,4329675
3622,6/12/2018,GRSP,RW-SP,713531,4335403
3638,6/12/2018,GRSP,RW-SP,713550,4335407
3379,5/17/2018,GRSP,RW-SP,713595,4335421
1216,7/7/2015,GRSP,RW-SR,709968,4330631
1231,7/7/2015,GRSP,RW-SR,709922,4330650
1224,7/7/2015,GRSP,RW-SR,709972,4330653
1230,7/7/2015,GRSP,RW-SR,709956,4330666
470,7/3/2014,GRSP,RW-SR,710884,4330773
4051,5/14/2019,GRSP,RW-SW,712741,4332530
519,7/14/2014,GRSP,RW-WS,713205,4334393
2308,6/30/2016,GRSP,RW-WS,713530,4335504
2306,6/30/2016,GRSP,RW-WS,713532,4335540
2305,6/30/2016,GRSP,RW-WS,713536,4335543
2206,6/22/2016,GRSP,RW-WS,713551,4335600
1963,6/4/2016,GRSP,RW-WS,713567,4335627
1965,6/4/2016,GRSP,RW-WS,713560,4335651
1970,6/4/2016,GRSP,RW-WS,713579,4335660
3313,5/11/2018,GRSP,RW-YS,711967,4329802
4106,5/18/2019,GRSP,RX-WS,707941,4327095
4088,5/18/2019,GRSP,RX-WS,707941,4327410
4096,5/18/2019,GRSP,RX-WS,707620,4327410
3205,7/17/2017,GRSP,RY-GS,707234,4329839
626,5/2/2015,GRSP,RY-GS,712171,4330125
645,5/9/2015,GRSP,RY-GS,712171,4330125
1576,7/30/2015,GRSP,RY-GS,712065,4330152
1574,7/30/2015,GRSP,RY-GS,712094,4330159
1575,7/30/2015,GRSP,RY-GS,712133,4330167
1530,7/26/2015,GRSP,RY-GS,712078,4330214
970,6/16/2015,GRSP,RY-OS,709983,4329005
558,7/19/2014,GRSP,RY-OS,713861,4335431
1263,7/11/2015,GRSP,RY-RS,712458,4328910
917,6/10/2015,GRSP,RY-RS,712469,4328939
1253,7/9/2015,GRSP,RY-SB,712790,4330493
2379,7/6/2016,GRSP,RY-SD,713085,4334156
781,5/25/2015,GRSP,RY-SK,712807,4330002
4109,5/18/2019,GRSP,RY-SO,707941,4327095
4113,5/18/2019,GRSP,RY-SO,707621,4327095
4089,5/18/2019,GRSP,RY-SO,707620,4327410
4030,5/6/2019,GRSP,RY-SO,708389,4328873
694,5/12/2015,GRSP,RY-SR,713842,4335282
712,5/13/2015,GRSP,RY-SR,713842,4335282
